    7   21
       -0.0014676764       -0.0003206728       -0.0000302045
       -0.0119246359        0.0247649102       -0.0068523839
       -0.1089245267        0.1091579660       -0.0370969224
       -0.0033053976       -0.0007030001       -0.0026536229
        0.0016232979       -0.0000742766        0.0011599054
        0.1154554634       -0.1202371747        0.0407051349
        0.0085434753       -0.0125877582        0.0047680592
       -0.0024386893        0.0048751884       -0.0022643073
       -0.0032311072        0.0029081362       -0.0014016110
        0.1139479365       -0.2675333988        0.0608147525
       -0.0007030001        0.0004460152       -0.0001343550
        0.0000742766        0.0006936306        0.0003988568
       -0.1202371747        0.2745301149       -0.0637494226
        0.0125877582       -0.0159196864        0.0063361472
       -0.0152837147        0.0169094648       -0.0138848661
        0.0048300768       -0.0132869372        0.0006779125
       -0.0365132737        0.0659298304       -0.0488031398
        0.0026536229        0.0001343550        0.0010941399
       -0.0011599054        0.0003988568       -0.0001593317
        0.0407051349       -0.0637494226        0.0570336085
        0.0047680592       -0.0063361472        0.0040416767
       -0.0014676764        0.0003206728       -0.0000302045
       -0.0119246359       -0.0247649102       -0.0068523839
       -0.1089245267       -0.1091579660       -0.0370969224
        0.0016232979        0.0000742766        0.0011599054
       -0.0033053976        0.0007030001       -0.0026536229
        0.0085434753        0.0125877582        0.0047680592
        0.1154554634        0.1202371747        0.0407051349
        0.0024386893        0.0048751884        0.0022643073
        0.0032311072        0.0029081362        0.0014016110
       -0.1139479365       -0.2675333988       -0.0608147525
       -0.0000742766        0.0006936306       -0.0003988568
        0.0007030001        0.0004460152        0.0001343550
       -0.0125877582       -0.0159196864       -0.0063361472
        0.1202371747        0.2745301149        0.0637494226
       -0.0152837147       -0.0169094648       -0.0138848661
        0.0048300768        0.0132869372        0.0006779125
       -0.0365132737       -0.0659298304       -0.0488031398
       -0.0011599054       -0.0003988568       -0.0001593317
        0.0026536229       -0.0001343550        0.0010941399
        0.0047680592        0.0063361472        0.0040416767
        0.0407051349        0.0637494226        0.0570336085
