    8   24
       -0.1263687901        0.0507109429       -0.0827292662
       -0.0084836567        0.0006537145       -0.0150440871
        0.0208866097       -0.0064652092        0.0070855955
        0.1619170810       -0.0584401822        0.1374289657
       -0.0572729984        0.0092139791       -0.0494412591
        0.0034266915       -0.0008489632        0.0000515617
        0.0048043636        0.0020929566        0.0025402792
        0.0010906993        0.0030827616        0.0001082104
        0.0448817988       -0.1392484321        0.0786886429
        0.0213347753       -0.0024509325        0.0392957672
       -0.0064652092        0.0223816914       -0.0080480514
       -0.0584401822        0.1144963206       -0.1017445313
       -0.0028828333        0.0185475267       -0.0082464571
       -0.0008489632        0.0008108991       -0.0036954921
       -0.0006621477       -0.0023686742       -0.0011595513
        0.0030827616       -0.0121683990        0.0049096731
       -0.0811427546        0.0872453062       -0.2197956448
       -0.0137801077        0.0005271021       -0.0250899866
       -0.0070855955        0.0080480514       -0.0828832119
        0.1374289657       -0.1017445313        0.3222578139
       -0.0364935147       -0.0024109539       -0.0061548951
       -0.0000515617        0.0036954921        0.0055008038
        0.0010163580       -0.0002701397        0.0033370245
        0.0001082104        0.0049096731        0.0028280963
       -0.2663879137       -0.1006392318        0.0000000000
       -0.0329861210       -0.0004773043        0.0000000000
       -0.0572729984       -0.0028828333        0.0364935147
       -0.0572729984       -0.0028828333       -0.0364935147
        0.4025744227        0.1160332237        0.0000000000
        0.0048043636       -0.0006621477       -0.0010163580
        0.0017368816       -0.0078267256        0.0000000000
        0.0048043636       -0.0006621477        0.0010163580
       -0.0884144700       -0.1378757135        0.0000000000
       -0.0424058995       -0.0009864988        0.0000000000
        0.0092139791        0.0185475267        0.0024109539
        0.0092139791        0.0185475267       -0.0024109539
        0.1160332237        0.1169457992        0.0000000000
        0.0020929566       -0.0023686742        0.0002701397
       -0.0078267256       -0.0104412919        0.0000000000
        0.0020929566       -0.0023686742       -0.0002701397
        0.0000000000        0.0000000000       -0.0754082137
        0.0000000000        0.0000000000        0.0020633708
        0.0494412591        0.0082464571       -0.0061548951
       -0.0494412591       -0.0082464571       -0.0061548951
        0.0000000000        0.0000000000        0.0797616793
       -0.0025402792        0.0011595513        0.0033370245
        0.0000000000        0.0000000000       -0.0007810950
        0.0025402792       -0.0011595513        0.0033370245
       -0.0084836567        0.0006537145        0.0150440871
       -0.1263687901        0.0507109429        0.0827292662
        0.0010906993        0.0030827616       -0.0001082104
        0.0034266915       -0.0008489632       -0.0000515617
        0.0048043636        0.0020929566       -0.0025402792
        0.1619170810       -0.0584401822       -0.1374289657
       -0.0572729984        0.0092139791        0.0494412591
        0.0208866097       -0.0064652092       -0.0070855955
        0.0213347753       -0.0024509325       -0.0392957672
        0.0448817988       -0.1392484321       -0.0786886429
        0.0030827616       -0.0121683990       -0.0049096731
       -0.0008489632        0.0008108991        0.0036954921
       -0.0006621477       -0.0023686742        0.0011595513
       -0.0584401822        0.1144963206        0.1017445313
       -0.0028828333        0.0185475267        0.0082464571
       -0.0064652092        0.0223816914        0.0080480514
        0.0137801077       -0.0005271021       -0.0250899866
        0.0811427546       -0.0872453062       -0.2197956448
       -0.0001082104       -0.0049096731        0.0028280963
        0.0000515617       -0.0036954921        0.0055008038
       -0.0010163580        0.0002701397        0.0033370245
       -0.1374289657        0.1017445313        0.3222578139
        0.0364935147        0.0024109539       -0.0061548951
        0.0070855955       -0.0080480514       -0.0828832119
       -0.0329861210       -0.0004773043        0.0000000000
       -0.2663879137       -0.1006392318        0.0000000000
        0.0048043636       -0.0006621477       -0.0010163580
        0.0048043636       -0.0006621477        0.0010163580
        0.0017368816       -0.0078267256        0.0000000000
       -0.0572729984       -0.0028828333        0.0364935147
        0.4025744227        0.1160332237        0.0000000000
       -0.0572729984       -0.0028828333       -0.0364935147
       -0.0424058995       -0.0009864988        0.0000000000
       -0.0884144700       -0.1378757135        0.0000000000
        0.0020929566       -0.0023686742        0.0002701397
        0.0020929566       -0.0023686742       -0.0002701397
       -0.0078267256       -0.0104412919        0.0000000000
        0.0092139791        0.0185475267        0.0024109539
        0.1160332237        0.1169457992        0.0000000000
        0.0092139791        0.0185475267       -0.0024109539
        0.0000000000        0.0000000000        0.0020633708
        0.0000000000        0.0000000000       -0.0754082137
       -0.0025402792        0.0011595513        0.0033370245
        0.0025402792       -0.0011595513        0.0033370245
        0.0000000000        0.0000000000       -0.0007810950
        0.0494412591        0.0082464571       -0.0061548951
        0.0000000000        0.0000000000        0.0797616793
       -0.0494412591       -0.0082464571       -0.0061548951
       -0.0084836567        0.0006537145       -0.0150440871
       -0.1263687901        0.0507109429       -0.0827292662
        0.0034266915       -0.0008489632        0.0000515617
        0.0010906993        0.0030827616        0.0001082104
        0.0048043636        0.0020929566        0.0025402792
        0.0208866097       -0.0064652092        0.0070855955
       -0.0572729984        0.0092139791       -0.0494412591
        0.1619170810       -0.0584401822        0.1374289657
        0.0213347753       -0.0024509325        0.0392957672
        0.0448817988       -0.1392484321        0.0786886429
       -0.0008489632        0.0008108991       -0.0036954921
        0.0030827616       -0.0121683990        0.0049096731
       -0.0006621477       -0.0023686742       -0.0011595513
       -0.0064652092        0.0223816914       -0.0080480514
       -0.0028828333        0.0185475267       -0.0082464571
       -0.0584401822        0.1144963206       -0.1017445313
       -0.0137801077        0.0005271021       -0.0250899866
       -0.0811427546        0.0872453062       -0.2197956448
       -0.0000515617        0.0036954921        0.0055008038
        0.0001082104        0.0049096731        0.0028280963
        0.0010163580       -0.0002701397        0.0033370245
       -0.0070855955        0.0080480514       -0.0828832119
       -0.0364935147       -0.0024109539       -0.0061548951
        0.1374289657       -0.1017445313        0.3222578139
