    7   21
       -0.0413642649       -0.0650981193        0.0573485307
        0.0010784207        0.0004036524       -0.0000096069
       -0.0026821699        0.0000128424        0.0010193242
       -0.0012683983       -0.0004841502        0.0001259652
       -0.0106689540        0.0240366560       -0.0067400621
       -0.1082860676        0.1094426612       -0.0376520050
       -0.0033269917       -0.0005679758       -0.0026821699
        0.0014611614        0.0000390506        0.0010784207
        0.1141481448       -0.1198667950        0.0413642649
        0.0079411053       -0.0125994245        0.0045055911
       -0.0027122451        0.0053088436       -0.0026921723
       -0.0037941013        0.0025484731       -0.0015420563
        0.1143807434       -0.2665616735        0.0624760793
       -0.0005679758        0.0005056121       -0.0000128424
       -0.0000390506        0.0007591917        0.0004036524
       -0.1198667950        0.2729078936       -0.0650981193
        0.0125994245       -0.0154683407        0.0064654456
       -0.0149295993        0.0168142515       -0.0130617909
        0.0046650689       -0.0130962468        0.0004221871
       -0.0372090747        0.0674290655       -0.0495550580
        0.0026821699        0.0000128424        0.0010193242
       -0.0010784207        0.0004036524       -0.0000096069
        0.0413642649       -0.0650981193        0.0573485307
        0.0045055911       -0.0064654456        0.0038364140
       -0.0012683983        0.0004841502        0.0001259652
       -0.0106689540       -0.0240366560       -0.0067400621
       -0.1082860676       -0.1094426612       -0.0376520050
        0.0014611614       -0.0000390506        0.0010784207
       -0.0033269917        0.0005679758       -0.0026821699
        0.0079411053        0.0125994245        0.0045055911
        0.1141481448        0.1198667950        0.0413642649
        0.0027122451        0.0053088436        0.0026921723
        0.0037941013        0.0025484731        0.0015420563
       -0.1143807434       -0.2665616735       -0.0624760793
        0.0000390506        0.0007591917       -0.0004036524
        0.0005679758        0.0005056121        0.0000128424
       -0.0125994245       -0.0154683407       -0.0064654456
        0.1198667950        0.2729078936        0.0650981193
       -0.0149295993       -0.0168142515       -0.0130617909
        0.0046650689        0.0130962468        0.0004221871
       -0.0372090747       -0.0674290655       -0.0495550580
       -0.0010784207       -0.0004036524       -0.0000096069
        0.0026821699       -0.0000128424        0.0010193242
        0.0045055911        0.0064654456        0.0038364140
        0.0413642649        0.0650981193        0.0573485307
